Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0110939717	-9.13735072	-9.13735072	-9.13735072	-9.13735072	0	0	0	0	0	0	0	3
2	5	0	0.0221879433	-9.46761335	-9.30248204	-9.46761335	-9.13735072	0.165131315	0	0	0	0	0	0	3
3	6	0	0.033281915	-9.38944607	-9.33147005	-9.46761335	-9.13735072	0.194119326	0	0	0	0	0	0	3
4	6	0	0.0443758867	-9.41605763	-9.35261694	-9.46761335	-9.13735072	0.21526622	0	0	0	0	0	0	3
5	7	0	0.0554698583	-9.42861093	-9.36781574	-9.46761335	-9.13735072	0.230465017	0	0	0	0	0	0	3
6	8	0	0.06656383	-9.44266102	-9.38028995	-9.46761335	-9.13735072	0.24293923	0	0	0	0	0	0	3
7	9	0	0.0776578017	-9.46020491	-9.39170638	-9.46761335	-9.13735072	0.254355653	0	0	0	0	0	0	3
8	10	0	0.0887517733	-9.47712195	-9.40238332	-9.47712195	-9.13735072	0.2650326	0	0	0	0	0	0	3
9	11	0	0.099845745	-9.48732499	-9.41182129	-9.48732499	-9.13735072	0.274470563	0	0	0	0	0	0	3
10	11	0	0.110939717	-9.49437252	-9.42007641	-9.49437252	-9.13735072	0.282725687	0	0	0	0	0	0	3
11	12	0	0.122033688	-9.49413198	-9.42680873	-9.49437252	-9.13735072	0.289458011	0	0	0	0	0	0	3
12	13	0	0.13312766	-9.50190192	-9.4330665	-9.50190192	-9.13735072	0.295715776	0	0	0	0	0	0	3
13	14	0	0.144221632	-9.50991089	-9.43897761	-9.50991089	-9.13735072	0.301626883	0	0	0	0	0	0	3
14	14	0	0.155315603	-9.5177227	-9.44460226	-9.5177227	-9.13735072	0.307251533	0	0	0	0	0	0	3
15	15	0	0.166409575	-9.52589201	-9.45002157	-9.52589201	-9.13735072	0.31267085	0	0	0	0	0	0	3
16	16	0	0.177503547	-9.52519278	-9.45471977	-9.52589201	-9.13735072	0.31736905	0	0	0	0	0	0	3
17	16	0	0.188597518	-9.53809415	-9.45962415	-9.53809415	-9.13735072	0.322273425	0	0	0	0	0	0	3
18	17	0	0.19969149	-9.55094014	-9.46469726	-9.55094014	-9.13735072	0.327346536	0	0	0	0	0	0	3
