Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0110939717	-0.406158705	-0.406158705	-0.406158705	-0.406158705	0	0	0	0	0	0	0	3
2	5	0	0.0221879433	-0.420839004	-0.413498855	-0.420839004	-0.406158705	0.00734014956	0	0	0	0	0	0	3
3	6	0	0.033281915	-0.417364439	-0.414787383	-0.420839004	-0.406158705	0.00862867768	0	0	0	0	0	0	3
4	6	0	0.0443758867	-0.418547333	-0.41572737	-0.420839004	-0.406158705	0.00956866513	0	0	0	0	0	0	3
5	7	0	0.0554698583	-0.419105332	-0.416402963	-0.420839004	-0.406158705	0.0102442574	0	0	0	0	0	0	3
6	8	0	0.06656383	-0.419729864	-0.416957446	-0.420839004	-0.406158705	0.0107987409	0	0	0	0	0	0	3
7	9	0	0.0776578017	-0.420509696	-0.41746491	-0.420839004	-0.406158705	0.0113062053	0	0	0	0	0	0	3
8	10	0	0.0887517733	-0.421261665	-0.417939505	-0.421261665	-0.406158705	0.0117807996	0	0	0	0	0	0	3
9	11	0	0.099845745	-0.421715194	-0.418359026	-0.421715194	-0.406158705	0.0122003206	0	0	0	0	0	0	3
10	11	0	0.110939717	-0.42202846	-0.418725969	-0.42202846	-0.406158705	0.012567264	0	0	0	0	0	0	3
11	12	0	0.122033688	-0.422017767	-0.419025223	-0.42202846	-0.406158705	0.0128665184	0	0	0	0	0	0	3
12	13	0	0.13312766	-0.422363144	-0.419303384	-0.422363144	-0.406158705	0.0131446784	0	0	0	0	0	0	3
13	14	0	0.144221632	-0.422719146	-0.419566134	-0.422719146	-0.406158705	0.0134074294	0	0	0	0	0	0	3
14	14	0	0.155315603	-0.423066384	-0.419816152	-0.423066384	-0.406158705	0.0136574472	0	0	0	0	0	0	3
15	15	0	0.166409575	-0.423429513	-0.420057043	-0.423429513	-0.406158705	0.0138983379	0	0	0	0	0	0	3
16	16	0	0.177503547	-0.423398432	-0.42026588	-0.423429513	-0.406158705	0.0141071746	0	0	0	0	0	0	3
17	16	0	0.188597518	-0.423971902	-0.420483881	-0.423971902	-0.406158705	0.014325176	0	0	0	0	0	0	3
18	17	0	0.19969149	-0.424542912	-0.420709383	-0.424542912	-0.406158705	0.0145506777	0	0	0	0	0	0	3
19	18	0	0.210785462	-0.425099983	-0.420940467	-0.425099983	-0.406158705	0.0147817619	0	0	0	0	0	0	3
20	19	0	0.221879433	-0.425638397	-0.421175364	-0.425638397	-0.406158705	0.0150166584	0	0	0	0	0	0	3
21	19	0	0.232973405	-0.425591065	-0.421385635	-0.425638397	-0.406158705	0.0152269299	0	0	0	0	0	0	3
22	20	0	0.244067377	-0.42633334	-0.421610531	-0.42633334	-0.406158705	0.0154518256	0	0	0	0	0	0	3
23	21	0	0.255161348	-0.427047735	-0.421846931	-0.427047735	-0.406158705	0.0156882258	0	0	0	0	0	0	3
24	21	0	0.26625532	-0.427730611	-0.422092084	-0.427730611	-0.406158705	0.0159333791	0	0	0	0	0	0	3
25	22	0	0.277349292	-0.428378568	-0.422343544	-0.428378568	-0.406158705	0.0161848385	0	0	0	0	0	0	3
26	23	0	0.288443263	-0.428229332	-0.42256992	-0.428378568	-0.406158705	0.016411215	0	0	0	0	0	0	3
27	24	0	0.299537235	-0.429059616	-0.422810279	-0.429059616	-0.406158705	0.0166515741	0	0	0	0	0	0	3
28	24	0	0.310631207	-0.429802406	-0.423059998	-0.429802406	-0.406158705	0.0169012929	0	0	0	0	0	0	3
29	25	0	0.321725178	-0.430460001	-0.423315171	-0.430460001	-0.406158705	0.0171564654	0	0	0	0	0	0	3
30	26	0	0.33281915	-0.431028808	-0.423572292	-0.431028808	-0.406158705	0.0174135867	0	0	0	0	0	0	3
31	26	0	0.343913122	-0.430538377	-0.423797004	-0.431028808	-0.406158705	0.0176382991	0	0	0	0	0	0	3
32	27	0	0.355007093	-0.431090632	-0.42402493	-0.431090632	-0.406158705	0.017866225	0	0	0	0	0	0	3
33	28	0	0.366101065	-0.431466203	-0.424250423	-0.431466203	-0.406158705	0.0180917181	0	0	0	0	0	0	3
34	29	0	0.377195037	-0.431694558	-0.424469368	-0.431694558	-0.406158705	0.0183106632	0	0	0	0	0	0	3
35	29	0	0.388289008	-0.431794944	-0.424678671	-0.431794944	-0.406158705	0.0185199654	0	0	0	0	0	0	3
