Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0110939717	0	0	0	0	0	0	0	0	0	0	0	3
2	5	0	0.0221879433	0	0	0	0	0	0	0	0	0	0	0	3
3	6	0	0.033281915	0	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.0443758867	0	0	0	0	0	0	0	0	0	0	0	3
5	7	0	0.0554698583	0	0	0	0	0	0	0	0	0	0	0	3
6	8	0	0.06656383	0	0	0	0	0	0	0	0	0	0	0	3
7	9	0	0.0776578017	0	0	0	0	0	0	0	0	0	0	0	3
8	10	0	0.0887517733	0	0	0	0	0	0	0	0	0	0	0	3
9	11	0	0.099845745	0	0	0	0	0	0	0	0	0	0	0	3
10	11	0	0.110939717	0	0	0	0	0	0	0	0	0	0	0	3
11	12	0	0.122033688	0	0	0	0	0	0	0	0	0	0	0	3
12	13	0	0.13312766	0	0	0	0	0	0	0	0	0	0	0	3
13	14	0	0.144221632	0	0	0	0	0	0	0	0	0	0	0	3
14	14	0	0.155315603	0	0	0	0	0	0	0	0	0	0	0	3
15	15	0	0.166409575	0	0	0	0	0	0	0	0	0	0	0	3
16	16	0	0.177503547	0	0	0	0	0	0	0	0	0	0	0	3
17	16	0	0.188597518	0	0	0	0	0	0	0	0	0	0	0	3
18	17	0	0.19969149	0	0	0	0	0	0	0	0	0	0	0	3
19	18	0	0.210785462	0	0	0	0	0	0	0	0	0	0	0	3
20	19	0	0.221879433	0	0	0	0	0	0	0	0	0	0	0	3
21	19	0	0.232973405	0	0	0	0	0	0	0	0	0	0	0	3
22	20	0	0.244067377	0	0	0	0	0	0	0	0	0	0	0	3
23	21	0	0.255161348	0	0	0	0	0	0	0	0	0	0	0	3
24	21	0	0.26625532	0	0	0	0	0	0	0	0	0	0	0	3
25	22	0	0.277349292	0	0	0	0	0	0	0	0	0	0	0	3
26	23	0	0.288443263	0	0	0	0	0	0	0	0	0	0	0	3
27	24	0	0.299537235	0	0	0	0	0	0	0	0	0	0	0	3
28	24	0	0.310631207	0	0	0	0	0	0	0	0	0	0	0	3
29	25	0	0.321725178	0	0	0	0	0	0	0	0	0	0	0	3
30	26	0	0.33281915	0	0	0	0	0	0	0	0	0	0	0	3
31	26	0	0.343913122	0	0	0	0	0	0	0	0	0	0	0	3
32	27	0	0.355007093	0	0	0	0	0	0	0	0	0	0	0	3
33	28	0	0.366101065	0	0	0	0	0	0	0	0	0	0	0	3
34	29	0	0.377195037	0	0	0	0	0	0	0	0	0	0	0	3
35	29	0	0.388289008	0	0	0	0	0	0	0	0	0	0	0	3
36	30	0	0.39938298	0	0	0	0	0	0	0	0	0	0	0	3
37	31	0	0.410476952	0	0	0	0	0	0	0	0	0	0	0	3
38	32	0	0.421570923	0	0	0	0	0	0	0	0	0	0	0	3
39	32	0	0.432664895	0	0	0	0	0	0	0	0	0	0	0	3
40	33	0	0.443758867	0	0	0	0	0	0	0	0	0	0	0	3
41	34	0	0.454852838	0	0	0	0	0	0	0	0	0	0	0	3
42	35	0	0.46594681	0	0	0	0	0	0	0	0	0	0	0	3
43	35	0	0.477040782	0	0	0	0	0	0	0	0	0	0	0	3
44	36	0	0.488134753	0	0	0	0	0	0	0	0	0	0	0	3
45	37	0	0.499228725	0	0	0	0	0	0	0	0	0	0	0	3
46	38	0	0.510322697	0	0	0	0	0	0	0	0	0	0	0	3
47	39	0	0.521416668	0	0	0	0	0	0	0	0	0	0	0	3
48	40	0	0.53251064	0	0	0	0	0	0	0	0	0	0	0	3
49	40	0	0.543604612	0	0	0	0	0	0	0	0	0	0	0	3
50	41	0	0.554698583	0	0	0	0	0	0	0	0	0	0	0	3
51	42	0	0.565792555	0	0	0	0	0	0	0	0	0	0	0	3
52	43	0	0.576886527	0	0	0	0	0	0	0	0	0	0	0	3
53	43	0	0.587980498	0	0	0	0	0	0	0	0	0	0	0	3
54	44	0	0.59907447	0	0	0	0	0	0	0	0	0	0	0	3
55	45	0	0.610168442	0	0	0	0	0	0	0	0	0	0	0	3
56	46	0	0.621262413	0	0	0	0	0	0	0	0	0	0	0	3
57	46	0	0.632356385	0	0	0	0	0	0	0	0	0	0	0	3
58	47	0	0.643450357	0	0	0	0	0	0	0	0	0	0	0	3
59	48	0	0.654544328	0	0	0	0	0	0	0	0	0	0	0	3
60	48	0	0.6656383	0	0	0	0	0	0	0	0	0	0	0	3
61	49	0	0.676732272	0	0	0	0	0	0	0	0	0	0	0	3
62	50	0	0.687826243	0	0	0	0	0	0	0	0	0	0	0	3
63	51	0	0.698920215	0	0	0	0	0	0	0	0	0	0	0	3
64	51	0	0.710014187	0	0	0	0	0	0	0	0	0	0	0	3
65	52	0	0.721108158	0	0	0	0	0	0	0	0	0	0	0	3
66	53	0	0.73220213	0	0	0	0	0	0	0	0	0	0	0	3
67	53	0	0.743296102	0	0	0	0	0	0	0	0	0	0	0	3
68	54	0	0.754390073	0	0	0	0	0	0	0	0	0	0	0	3
69	55	0	0.765484045	0	0	0	0	0	0	0	0	0	0	0	3
70	56	0	0.776578017	0	0	0	0	0	0	0	0	0	0	0	3
71	57	0	0.787671988	0	0	0	0	0	0	0	0	0	0	0	3
72	57	0	0.79876596	0	0	0	0	0	0	0	0	0	0	0	3
73	58	0	0.809859932	0	0	0	0	0	0	0	0	0	0	0	3
74	59	0	0.820953903	0	0	0	0	0	0	0	0	0	0	0	3
75	59	0	0.832047875	0	0	0	0	0	0	0	0	0	0	0	3
76	60	0	0.843141847	0	0	0	0	0	0	0	0	0	0	0	3
77	61	0	0.854235818	0	0	0	0	0	0	0	0	0	0	0	3
78	62	0	0.86532979	0	0	0	0	0	0	0	0	0	0	0	3
79	62	0	0.876423762	0	0	0	0	0	0	0	0	0	0	0	3
80	63	0	0.887517733	0	0	0	0	0	0	0	0	0	0	0	3
81	64	0	0.898611705	0	0	0	0	0	0	0	0	0	0	0	3
82	64	0	0.909705677	0	0	0	0	0	0	0	0	0	0	0	3
83	65	0	0.920799648	0	0	0	0	0	0	0	0	0	0	0	3
84	66	0	0.93189362	0	0	0	0	0	0	0	0	0	0	0	3
85	66	0	0.942987592	0	0	0	0	0	0	0	0	0	0	0	3
86	67	0	0.954081563	0	0	0	0	0	0	0	0	0	0	0	3
87	68	0	0.965175535	0	0	0	0	0	0	0	0	0	0	0	3
88	68	0	0.976269507	0	0	0	0	0	0	0	0	0	0	0	3
