Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0110939717	1.48571715e-05	1.48571715e-05	1.48571715e-05	1.48571715e-05	0	0	0	0	0	0	0	3
2	5	0	0.0221879433	6.10638469e-08	7.45911765e-06	6.10638469e-08	1.48571715e-05	7.39805381e-06	0	0	0	0	0	0	3
3	6	0	0.033281915	-5.7474706e-08	4.95358687e-06	-5.7474706e-08	1.48571715e-05	9.90358459e-06	0	0	0	0	0	0	3
4	6	0	0.0443758867	6.50089635e-08	3.73144239e-06	-5.7474706e-08	1.48571715e-05	1.11257291e-05	0	0	0	0	0	0	3
5	7	0	0.0554698583	-1.46094677e-08	2.98223202e-06	-5.7474706e-08	1.48571715e-05	1.18749394e-05	0	0	0	0	0	0	3
6	8	0	0.06656383	4.2180579e-09	2.48589636e-06	-5.7474706e-08	1.48571715e-05	1.23712751e-05	0	0	0	0	0	0	3
7	9	0	0.0776578017	-2.37528674e-08	2.12737504e-06	-5.7474706e-08	1.48571715e-05	1.27297964e-05	0	0	0	0	0	0	3
8	10	0	0.0887517733	-1.3238151e-08	1.85979839e-06	-5.7474706e-08	1.48571715e-05	1.29973731e-05	0	0	0	0	0	0	3
9	11	0	0.099845745	-1.9645835e-08	1.65097126e-06	-5.7474706e-08	1.48571715e-05	1.32062002e-05	0	0	0	0	0	0	3
10	11	0	0.110939717	-2.20636699e-08	1.48366776e-06	-5.7474706e-08	1.48571715e-05	1.33735037e-05	0	0	0	0	0	0	3
11	12	0	0.122033688	-2.28290039e-08	1.34671351e-06	-5.7474706e-08	1.48571715e-05	1.35104579e-05	0	0	0	0	0	0	3
12	13	0	0.13312766	-3.59549862e-08	1.23149114e-06	-5.7474706e-08	1.48571715e-05	1.36256803e-05	0	0	0	0	0	0	3
13	14	0	0.144221632	-8.79546276e-09	1.13608448e-06	-5.7474706e-08	1.48571715e-05	1.3721087e-05	0	0	0	0	0	0	3
14	14	0	0.155315603	-2.70228601e-09	1.05474256e-06	-5.7474706e-08	1.48571715e-05	1.38024289e-05	0	0	0	0	0	0	3
15	15	0	0.166409575	3.24729263e-07	1.00607501e-06	-5.7474706e-08	1.48571715e-05	1.38510964e-05	0	0	0	0	0	0	3
16	16	0	0.177503547	3.17876224e-07	9.63062586e-07	-5.7474706e-08	1.48571715e-05	1.38941089e-05	0	0	0	0	0	0	3
17	16	0	0.188597518	2.51729204e-07	9.21219446e-07	-5.7474706e-08	1.48571715e-05	1.3935952e-05	0	0	0	0	0	0	3
18	17	0	0.19969149	1.66898705e-07	8.79312738e-07	-5.7474706e-08	1.48571715e-05	1.39778587e-05	0	0	0	0	0	0	3
19	18	0	0.210785462	1.33787121e-07	8.40074548e-07	-5.7474706e-08	1.48571715e-05	1.40170969e-05	0	0	0	0	0	0	3
20	19	0	0.221879433	1.00412908e-07	8.03091466e-07	-5.7474706e-08	1.48571715e-05	1.405408e-05	0	0	0	0	0	0	3
21	19	0	0.232973405	3.937801e-08	7.66724158e-07	-5.7474706e-08	1.48571715e-05	1.40904473e-05	0	0	0	0	0	0	3
22	20	0	0.244067377	-1.19618689e-08	7.31329339e-07	-5.7474706e-08	1.48571715e-05	1.41258421e-05	0	0	0	0	0	0	3
23	21	0	0.255161348	8.63855702e-08	7.03288306e-07	-5.7474706e-08	1.48571715e-05	1.41538832e-05	0	0	0	0	0	0	3
24	21	0	0.26625532	1.01832349e-07	6.78227641e-07	-5.7474706e-08	1.48571715e-05	1.41789438e-05	0	0	0	0	0	0	3
25	22	0	0.277349292	1.13383453e-07	6.55633873e-07	-5.7474706e-08	1.48571715e-05	1.42015376e-05	0	0	0	0	0	0	3
26	23	0	0.288443263	1.18299759e-07	6.34967177e-07	-5.7474706e-08	1.48571715e-05	1.42222043e-05	0	0	0	0	0	0	3
27	24	0	0.299537235	1.57511295e-09	6.11508211e-07	-5.7474706e-08	1.48571715e-05	1.42456632e-05	0	0	0	0	0	0	3
28	24	0	0.310631207	5.71293352e-08	5.91708966e-07	-5.7474706e-08	1.48571715e-05	1.42654625e-05	0	0	0	0	0	0	3
29	25	0	0.321725178	3.17159944e-08	5.72398863e-07	-5.7474706e-08	1.48571715e-05	1.42847726e-05	0	0	0	0	0	0	3
30	26	0	0.33281915	-5.02778819e-08	5.51642972e-07	-5.7474706e-08	1.48571715e-05	1.43055285e-05	0	0	0	0	0	0	3
31	26	0	0.343913122	-1.01500275e-07	5.30573835e-07	-1.01500275e-07	1.48571715e-05	1.43265976e-05	0	0	0	0	0	0	3
32	27	0	0.355007093	-2.82067214e-07	5.05178802e-07	-2.82067214e-07	1.48571715e-05	1.43519927e-05	0	0	0	0	0	0	3
33	28	0	0.366101065	-2.24184697e-07	4.83076878e-07	-2.82067214e-07	1.48571715e-05	1.43740946e-05	0	0	0	0	0	0	3
34	29	0	0.377195037	-2.283002e-07	4.62154022e-07	-2.82067214e-07	1.48571715e-05	1.43950174e-05	0	0	0	0	0	0	3
35	29	0	0.388289008	-3.4927713e-07	4.38970275e-07	-3.4927713e-07	1.48571715e-05	1.44182012e-05	0	0	0	0	0	0	3
36	30	0	0.39938298	-3.26925098e-07	4.17695404e-07	-3.4927713e-07	1.48571715e-05	1.44394761e-05	0	0	0	0	0	0	3
37	31	0	0.410476952	-3.88721857e-07	3.95900343e-07	-3.88721857e-07	1.48571715e-05	1.44612711e-05	0	0	0	0	0	0	3
38	32	0	0.421570923	-2.83807177e-07	3.78013303e-07	-3.88721857e-07	1.48571715e-05	1.44791582e-05	0	0	0	0	0	0	3
39	32	0	0.432664895	-1.51808244e-07	3.64428135e-07	-3.88721857e-07	1.48571715e-05	1.44927433e-05	0	0	0	0	0	0	3
40	33	0	0.443758867	-7.07215321e-08	3.53549393e-07	-3.88721857e-07	1.48571715e-05	1.45036221e-05	0	0	0	0	0	0	3
41	34	0	0.454852838	-2.02531196e-09	3.44876839e-07	-3.88721857e-07	1.48571715e-05	1.45122946e-05	0	0	0	0	0	0	3
42	35	0	0.46594681	2.8009166e-08	3.37332371e-07	-3.88721857e-07	1.48571715e-05	1.45198391e-05	0	0	0	0	0	0	3
43	35	0	0.477040782	1.59400896e-07	3.3319443e-07	-3.88721857e-07	1.48571715e-05	1.4523977e-05	0	0	0	0	0	0	3
44	36	0	0.488134753	1.83515003e-07	3.29792625e-07	-3.88721857e-07	1.48571715e-05	1.45273788e-05	0	0	0	0	0	0	3
45	37	0	0.499228725	1.67188389e-07	3.26179197e-07	-3.88721857e-07	1.48571715e-05	1.45309923e-05	0	0	0	0	0	0	3
46	38	0	0.510322697	-2.43432481e-08	3.18559144e-07	-3.88721857e-07	1.48571715e-05	1.45386123e-05	0	0	0	0	0	0	3
47	39	0	0.521416668	-1.5273828e-07	-7.74324172e-09	-3.88721857e-07	3.24729263e-07	7.1345112e-07	0	0	0	0	0	0	3
48	40	0	0.53251064	-2.85274838e-07	-1.52723436e-08	-3.88721857e-07	3.24729263e-07	7.1345112e-07	0	0	0	0	0	0	3
49	40	0	0.543604612	-5.08011181e-07	-2.50666148e-08	-5.08011181e-07	3.24729263e-07	8.32740444e-07	0	0	0	0	0	0	3
50	41	0	0.554698583	-4.69898367e-07	-3.6695035e-08	-5.08011181e-07	3.24729263e-07	8.32740444e-07	0	0	0	0	0	0	3
51	42	0	0.565792555	-5.83978995e-07	-4.90726334e-08	-5.83978995e-07	3.24729263e-07	9.08708259e-07	0	0	0	0	0	0	3
52	43	0	0.576886527	-3.82567115e-07	-5.74810067e-08	-5.83978995e-07	3.24729263e-07	9.08708259e-07	0	0	0	0	0	0	3
53	43	0	0.587980498	-3.36449682e-08	-5.76960524e-08	-5.83978995e-07	3.24729263e-07	9.08708259e-07	0	0	0	0	0	0	3
54	44	0	0.59907447	-2.10292646e-08	-5.78654244e-08	-5.83978995e-07	3.24729263e-07	9.08708259e-07	0	0	0	0	0	0	3
55	45	0	0.610168442	-1.50439933e-08	-5.77653844e-08	-5.83978995e-07	3.24729263e-07	9.08708259e-07	0	0	0	0	0	0	3
56	46	0	0.621262413	-6.79669056e-09	-5.74334935e-08	-5.83978995e-07	3.24729263e-07	9.08708259e-07	0	0	0	0	0	0	3
57	46	0	0.632356385	2.7027505e-09	-5.68784554e-08	-5.83978995e-07	3.24729263e-07	9.08708259e-07	0	0	0	0	0	0	3
58	47	0	0.643450357	1.15815013e-08	-5.58450535e-08	-5.83978995e-07	3.24729263e-07	9.08708259e-07	0	0	0	0	0	0	3
59	48	0	0.654544328	1.99399307e-08	-5.5220371e-08	-5.83978995e-07	3.24729263e-07	9.08708259e-07	0	0	0	0	0	0	3
60	48	0	0.6656383	2.78050025e-08	-5.45571691e-08	-5.83978995e-07	3.24729263e-07	9.08708259e-07	0	0	0	0	0	0	3
61	49	0	0.676732272	2.53315779e-08	-6.10658144e-08	-5.83978995e-07	3.17876224e-07	9.01855219e-07	0	0	0	0	0	0	3
62	50	0	0.687826243	3.42355774e-08	-6.72319155e-08	-5.83978995e-07	2.51729204e-07	8.35708199e-07	0	0	0	0	0	0	3
63	51	0	0.698920215	2.73517384e-08	-7.21096864e-08	-5.83978995e-07	1.83515003e-07	7.67493998e-07	0	0	0	0	0	0	3
64	51	0	0.710014187	2.51188695e-08	-7.51918568e-08	-5.83978995e-07	1.83515003e-07	7.67493998e-07	0	0	0	0	0	0	3
65	52	0	0.721108158	1.95651752e-08	-7.76749426e-08	-5.83978995e-07	1.83515003e-07	7.67493998e-07	0	0	0	0	0	0	3
66	53	0	0.73220213	1.54428837e-08	-7.9522117e-08	-5.83978995e-07	1.83515003e-07	7.67493998e-07	0	0	0	0	0	0	3
67	53	0	0.743296102	8.87541579e-09	-8.01852169e-08	-5.83978995e-07	1.83515003e-07	7.67493998e-07	0	0	0	0	0	0	3
68	54	0	0.754390073	2.45667944e-09	-7.98717702e-08	-5.83978995e-07	1.83515003e-07	7.67493998e-07	0	0	0	0	0	0	3
69	55	0	0.765484045	-3.13678623e-09	-8.18179083e-08	-5.83978995e-07	1.83515003e-07	7.60045549e-07	0	0	0	0	0	0	3
70	56	0	0.776578017	-7.60000684e-09	-8.41968726e-08	-5.83978995e-07	1.83515003e-07	7.39830746e-07	0	0	0	0	0	0	3
