Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0131678212	1.98730137	1.98730137	1.98730137	1.98730137	0	0	0	0	3.01121	0	0	3
2	4	0	0.0263356423	1.99179288	1.98954712	1.98730137	1.99179288	0.0022457532	0	0	0	3.08342	0	0	3
3	5	0	0.0395034635	1.99391423	1.99100282	1.98730137	1.99391423	0.00370145417	0	0	0	3.10278	0	0	3
4	6	0	0.0526712847	1.99371109	1.99167989	1.98730137	1.99391423	0.00437851995	0	0	0	3.09524	0	0	3
5	6	0	0.0658391058	1.99441635	1.99222718	1.98730137	1.99441635	0.00492581159	0	0	0	3.0852	0	0	3
6	7	0	0.079006927	1.99534287	1.99274646	1.98730137	1.99534287	0.0054450932	0	0	0	3.06583	0	0	3
7	7	0	0.0921747482	1.99673467	1.99331621	1.98730137	1.99673467	0.00601483706	0	0	0	3.0605	0	0	3
8	8	0	0.105342569	1.99772786	1.99386766	1.98730137	1.99772786	0.00656629359	0	0	0	3.06129	0	0	3
9	9	0	0.118510391	1.99853708	1.99438649	1.98730137	1.99853708	0.00708511795	0	0	0	3.05736	0	0	3
10	9	0	0.131678212	1.99909253	1.99485709	1.98730137	1.99909253	0.00755572223	0	0	0	3.05657	0	0	3
11	10	0	0.144846033	1.99956433	1.99528502	1.98730137	1.99956433	0.00798365276	0	0	0	3.05515	0	0	3
12	11	0	0.158013854	1.9998399	1.9956646	1.98730137	1.9998399	0.00836322613	0	0	0	3.05855	0	0	3
13	11	0	0.171181675	1.99996626	1.99599549	1.98730137	1.99996626	0.00869412366	0	0	0	3.06141	0	0	3
14	12	0	0.184349496	1.99999894	1.99628145	1.98730137	1.99999894	0.008980084	0	0	0	3.06499	0	0	3
15	13	0	0.197517318	2.00001089	1.99653008	1.98730137	2.00001089	0.00922871304	0	0	0	3.0688	0	0	3
16	13	0	0.210685139	2.00001311	1.99674777	1.98730137	2.00001311	0.00944640229	0	0	0	3.06808	0	0	3
17	14	0	0.22385296	2.00001217	1.9969398	1.98730137	2.00001311	0.00963842572	0	0	0	3.06801	0	0	3
18	14	0	0.237020781	2.00001023	1.99711038	1.98730137	2.00001311	0.00980900527	0	0	0	3.07135	0	0	3
19	15	0	0.250188602	2.00001169	1.99726308	1.98730137	2.00001311	0.00996170631	0	0	0	3.07432	0	0	3
20	16	0	0.263356423	2.00000967	1.99740041	1.98730137	2.00001311	0.0100990358	0	0	0	3.07659	0	0	3
21	16	0	0.276524245	2.00002651	1.99752546	1.98730137	2.00002651	0.0102240882	0	0	0	3.07367	0	0	3
22	17	0	0.289692066	2.00001399	1.99763857	1.98730137	2.00002651	0.0103372032	0	0	0	3.07225	0	0	3
23	18	0	0.302859887	2.00000964	1.99774166	1.98730137	2.00002651	0.0104402931	0	0	0	3.0732	0	0	3
24	18	0	0.316027708	2.00000557	1.99783599	1.98730137	2.00002651	0.0105346224	0	0	0	3.07403	0	0	3
25	19	0	0.329195529	2.00000432	1.99792273	1.98730137	2.00002651	0.0106213554	0	0	0	3.07777	0	0	3
26	20	0	0.34236335	2.00001612	1.99800324	1.98730137	2.00002651	0.0107018706	0	0	0	3.07483	0	0	3
27	20	0	0.355531172	2.0000122	1.99807765	1.98730137	2.00002651	0.0107762764	0	0	0	3.0733	0	0	3
28	21	0	0.368698993	2.00000352	1.99814643	1.98730137	2.00002651	0.0108450576	0	0	0	3.07044	0	0	3
29	21	0	0.381866814	2.00000238	1.99821043	1.98730137	2.00002651	0.0109090559	0	0	0	3.06384	0	0	3
30	22	0	0.395034635	1.99999976	1.99827007	1.98730137	2.00002651	0.0109687005	0	0	0	3.05594	0	0	3
31	23	0	0.408202456	2.00003892	1.99832713	1.98730137	2.00003892	0.0110257601	0	0	0	3.04106	0	0	3
32	23	0	0.421370277	2.00001573	1.9983799	1.98730137	2.00003892	0.011078529	0	0	0	3.02287	0	0	3
33	24	0	0.434538099	2.00000808	1.99842924	1.98730137	2.00003892	0.0111278679	0	0	0	3.00172	0	0	3
34	25	0	0.44770592	2.00001987	1.99847602	1.98730137	2.00003892	0.0111746513	0	0	0	2.97841	0	0	3
35	25	0	0.460873741	2.00000451	1.99851969	1.98730137	2.00003892	0.0112183223	0	0	0	2.95318	0	0	3
36	26	0	0.474041562	2.00005298	1.99856228	1.98730137	2.00005298	0.0112609136	0	0	0	2.91355	0	0	3
37	27	0	0.487209383	2.0000151	1.99860155	1.98730137	2.00005298	0.0113001789	0	0	0	2.8746	0	0	3
38	27	0	0.500377204	2.00002934	1.99863912	1.98730137	2.00005298	0.0113377523	0	0	0	2.83504	0	0	3
39	28	0	0.513545026	2.00003112	1.99897412	1.99179288	2.00005298	0.00826010254	0	0	0	2.79667	0	0	3
40	28	0	0.526712847	2.00003738	1.99919108	1.99371109	2.00005298	0.00634189166	0	0	0	2.75906	0	0	3
41	29	0	0.539880668	2.00008439	1.99935345	1.99371109	2.00008439	0.00637330196	0	0	0	2.7071	0	0	3
42	30	0	0.553048489	2.00010159	1.99952162	1.99441635	2.00010159	0.00568523825	0	0	0	2.65725	0	0	3
43	30	0	0.56621631	2.00010215	1.99967125	1.99534287	2.00010215	0.00475928333	0	0	0	2.60945	0	0	3
44	31	0	0.579384131	2.00011649	1.99979687	1.99673467	2.00011649	0.00338181812	0	0	0	2.56394	0	0	3
45	32	0	0.592551953	2.00013796	1.99988643	1.99772786	2.00013796	0.0024101036	0	0	0	2.52107	0	0	3
46	33	0	0.605719774	2.00009328	1.99994868	1.99853708	2.00013796	0.00160088017	0	0	0	2.48199	0	0	3
47	33	0	0.618887595	2.00007613	1.99998918	1.99909253	2.00013796	0.00104543218	0	0	0	2.44727	0	0	3
48	34	0	0.632055416	2.00006705	2.00001482	1.99956433	2.00013796	0.0005736348	0	0	0	2.41719	0	0	3
49	35	0	0.645223237	2.00005822	2.00002782	1.9998399	2.00013796	0.000298059737	0	0	0	2.39183	0	0	3
50	35	0	0.658391058	2.00004913	2.00003333	1.99996626	2.00013796	0.000171698896	0	0	0	2.37089	0	0	3
51	36	0	0.67155888	2.00003984	2.00003526	1.99999894	2.00013796	0.000139024558	0	0	0	2.35424	0	0	3
52	36	0	0.684726701	2.00003205	2.00003613	1.99999976	2.00013796	0.000138198737	0	0	0	2.34139	0	0	3
53	37	0	0.697894522	2.00002411	2.00003648	1.99999976	2.00013796	0.000138198737	0	0	0	2.33215	0	0	3
54	38	0	0.711062343	2.00001733	2.00003659	1.99999976	2.00013796	0.000138198737	0	0	0	2.32586	0	0	3
55	38	0	0.724230164	2.00002542	2.00003694	1.99999976	2.00013796	0.000138198737	0	0	0	2.32203	0	0	3
56	39	0	0.737397985	2.00002169	2.00003724	1.99999976	2.00013796	0.000138198737	0	0	0	2.32038	0	0	3
57	40	0	0.750565807	2.00001292	2.00003728	1.99999976	2.00013796	0.000138198737	0	0	0	2.32022	0	0	3
58	40	0	0.763733628	2.00000527	2.00003716	1.99999976	2.00013796	0.000138198737	0	0	0	2.32136	0	0	3
