Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0131678212	0.26040453	0.26040453	0.26040453	0.26040453	0	0	0	0	0	0	0	3
2	4	0	0.0263356423	0.558376016	0.409390273	0.26040453	0.558376016	0.148985743	0	0	0	0	0	0	3
3	5	0	0.0395034635	0.230345804	0.349708783	0.230345804	0.558376016	0.148985743	0	0	0	0	0	0	3
4	6	0	0.0526712847	0.190754397	0.309970187	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
5	6	0	0.0658391058	0.222282194	0.292432588	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
6	7	0	0.079006927	0.267957133	0.288353346	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
7	7	0	0.0921747482	0.249233333	0.282764772	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
8	8	0	0.105342569	0.256415473	0.27947111	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
9	9	0	0.118510391	0.29382849	0.281066374	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
10	9	0	0.131678212	0.30740375	0.283700112	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
11	10	0	0.144846033	0.30238042	0.285398322	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
12	11	0	0.158013854	0.317574331	0.288079656	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
13	11	0	0.171181675	0.345983223	0.292533776	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
14	12	0	0.184349496	0.363098135	0.297574088	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
15	13	0	0.197517318	0.369621264	0.302377233	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
16	13	0	0.210685139	0.37423259	0.306868193	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
17	14	0	0.22385296	0.375368444	0.310897619	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
18	14	0	0.237020781	0.377305373	0.314586939	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
19	15	0	0.250188602	0.381218778	0.318093878	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
20	16	0	0.263356423	0.381905113	0.32128444	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
21	16	0	0.276524245	0.380268162	0.324093188	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
22	17	0	0.289692066	0.382536607	0.326749707	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
23	18	0	0.302859887	0.387173006	0.329376807	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
24	18	0	0.316027708	0.389579885	0.331885269	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
25	19	0	0.329195529	0.389915385	0.334206473	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
26	20	0	0.34236335	0.389757285	0.336343043	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
27	20	0	0.355531172	0.392234683	0.338413104	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
28	21	0	0.368698993	0.394178782	0.340404735	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
29	21	0	0.381866814	0.39359436	0.34223886	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
30	22	0	0.395034635	0.394955957	0.343996097	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
31	23	0	0.408202456	0.394946812	0.345639668	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
32	23	0	0.421370277	0.395981533	0.347212852	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
33	24	0	0.434538099	0.402802604	0.348897389	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
34	25	0	0.44770592	0.397274348	0.350320241	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
35	25	0	0.460873741	0.404231283	0.351860557	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
36	26	0	0.474041562	0.399759193	0.353191074	0.190754397	0.558376016	0.148985743	0	0	0	0	0	0	3
