Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0131678212	3.01120956	3.01120956	3.01120956	3.01120956	0	0	0	0	3.01121	0	0	3
2	4	0	0.0263356423	3.08341775	3.04731366	3.01120956	3.08341775	0.0361040947	0	0	0	3.08342	0	0	3
3	5	0	0.0395034635	3.10278004	3.06580245	3.01120956	3.10278004	0.0545928898	0	0	0	3.10278	0	0	3
4	6	0	0.0526712847	3.09523658	3.07316099	3.01120956	3.10278004	0.0619514224	0	0	0	3.09524	0	0	3
5	6	0	0.0658391058	3.08520451	3.07556969	3.01120956	3.10278004	0.0643601273	0	0	0	3.0852	0	0	3
6	7	0	0.079006927	3.06583179	3.07394671	3.01120956	3.10278004	0.0643601273	0	0	0	3.06583	0	0	3
7	7	0	0.0921747482	3.06049517	3.07202506	3.01120956	3.10278004	0.0643601273	0	0	0	3.0605	0	0	3
8	8	0	0.105342569	3.06128567	3.07068264	3.01120956	3.10278004	0.0643601273	0	0	0	3.06129	0	0	3
9	9	0	0.118510391	3.05736205	3.06920257	3.01120956	3.10278004	0.0643601273	0	0	0	3.05736	0	0	3
10	9	0	0.131678212	3.05656873	3.06793919	3.01120956	3.10278004	0.0643601273	0	0	0	3.05657	0	0	3
11	10	0	0.144846033	3.05515071	3.0667766	3.01120956	3.10278004	0.0643601273	0	0	0	3.05515	0	0	3
12	11	0	0.158013854	3.05855138	3.06609116	3.01120956	3.10278004	0.0643601273	0	0	0	3.05855	0	0	3
13	11	0	0.171181675	3.06140529	3.06573071	3.01120956	3.10278004	0.0643601273	0	0	0	3.06141	0	0	3
14	12	0	0.184349496	3.06498916	3.06567774	3.01120956	3.10278004	0.0643601273	0	0	0	3.06499	0	0	3
15	13	0	0.197517318	3.06879601	3.06588563	3.01120956	3.10278004	0.0643601273	0	0	0	3.0688	0	0	3
16	13	0	0.210685139	3.06808054	3.06602281	3.01120956	3.10278004	0.0643601273	0	0	0	3.06808	0	0	3
17	14	0	0.22385296	3.06801245	3.06613985	3.01120956	3.10278004	0.0643601273	0	0	0	3.06801	0	0	3
18	14	0	0.237020781	3.07135483	3.06642957	3.01120956	3.10278004	0.0643601273	0	0	0	3.07135	0	0	3
19	15	0	0.250188602	3.0743168	3.06684469	3.01120956	3.10278004	0.0643601273	0	0	0	3.07432	0	0	3
20	16	0	0.263356423	3.0765853	3.06733172	3.01120956	3.10278004	0.0643601273	0	0	0	3.07659	0	0	3
21	16	0	0.276524245	3.07366519	3.06763331	3.01120956	3.10278004	0.0643601273	0	0	0	3.07367	0	0	3
22	17	0	0.289692066	3.07225356	3.06784332	3.01120956	3.10278004	0.0643601273	0	0	0	3.07225	0	0	3
23	18	0	0.302859887	3.07319634	3.06807606	3.01120956	3.10278004	0.0643601273	0	0	0	3.0732	0	0	3
24	18	0	0.316027708	3.07403287	3.06832426	3.01120956	3.10278004	0.0643601273	0	0	0	3.07403	0	0	3
25	19	0	0.329195529	3.07777466	3.06870228	3.01120956	3.10278004	0.0643601273	0	0	0	3.07777	0	0	3
26	20	0	0.34236335	3.07483147	3.06893802	3.01120956	3.10278004	0.0643601273	0	0	0	3.07483	0	0	3
27	20	0	0.355531172	3.07329581	3.06909942	3.01120956	3.10278004	0.0643601273	0	0	0	3.0733	0	0	3
28	21	0	0.368698993	3.07044018	3.0691473	3.01120956	3.10278004	0.0643601273	0	0	0	3.07044	0	0	3
29	21	0	0.381866814	3.06384091	3.06896432	3.01120956	3.10278004	0.0643601273	0	0	0	3.06384	0	0	3
30	22	0	0.395034635	3.0559363	3.06853005	3.01120956	3.10278004	0.0643601273	0	0	0	3.05594	0	0	3
31	23	0	0.408202456	3.04105542	3.06764378	3.01120956	3.10278004	0.0643601273	0	0	0	3.04106	0	0	3
32	23	0	0.421370277	3.0228732	3.06624469	3.01120956	3.10278004	0.0643601273	0	0	0	3.02287	0	0	3
33	24	0	0.434538099	3.00172143	3.06428944	3.00172143	3.10278004	0.0643601273	0	0	0	3.00172	0	0	3
34	25	0	0.44770592	2.97840539	3.06176344	2.97840539	3.10278004	0.0643601273	0	0	0	2.97841	0	0	3
35	25	0	0.460873741	2.95318078	3.05866108	2.95318078	3.10278004	0.0643601273	0	0	0	2.95318	0	0	3
36	26	0	0.474041562	2.91355418	3.05463033	2.91355418	3.10278004	0.0643601273	0	0	0	2.91355	0	0	3
37	27	0	0.487209383	2.87459744	3.04976458	2.87459744	3.10278004	0.0643601273	0	0	0	2.8746	0	0	3
