Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0131678212	0.000280974448	0.000280974448	0.000280974448	0.000280974448	0	0	0	0	0	0	0	3
2	4	0	0.0263356423	4.70333733e-05	0.000164003911	4.70333733e-05	0.000280974448	0.000116970537	0	0	0	0	0	0	3
3	5	0	0.0395034635	2.39146141e-05	0.000117307479	2.39146141e-05	0.000280974448	0.00016366697	0	0	0	0	0	0	3
4	6	0	0.0526712847	7.72288039e-06	8.9911329e-05	7.72288039e-06	0.000280974448	0.000191063119	0	0	0	0	0	0	3
5	6	0	0.0658391058	1.26232888e-05	7.44537209e-05	7.72288039e-06	0.000280974448	0.000206520727	0	0	0	0	0	0	3
6	7	0	0.079006927	1.05682301e-05	6.38061391e-05	7.72288039e-06	0.000280974448	0.000217168309	0	0	0	0	0	0	3
7	7	0	0.0921747482	1.03096347e-05	5.61637814e-05	7.72288039e-06	0.000280974448	0.000224810667	0	0	0	0	0	0	3
8	8	0	0.105342569	8.2898602e-06	5.01795412e-05	7.72288039e-06	0.000280974448	0.000230794907	0	0	0	0	0	0	3
9	9	0	0.118510391	7.56693493e-06	4.54448072e-05	7.56693493e-06	0.000280974448	0.000235529641	0	0	0	0	0	0	3
10	9	0	0.131678212	6.69172208e-06	4.15694987e-05	6.69172208e-06	0.000280974448	0.000239404949	0	0	0	0	0	0	3
11	10	0	0.144846033	5.91003176e-06	3.8327729e-05	5.91003176e-06	0.000280974448	0.000242646719	0	0	0	0	0	0	3
12	11	0	0.158013854	5.67862657e-06	3.56069704e-05	5.67862657e-06	0.000280974448	0.000245367478	0	0	0	0	0	0	3
13	11	0	0.171181675	5.64894659e-06	3.33025071e-05	5.64894659e-06	0.000280974448	0.000247671941	0	0	0	0	0	0	3
14	12	0	0.184349496	5.67172656e-06	3.13288799e-05	5.64894659e-06	0.000280974448	0.000249645568	0	0	0	0	0	0	3
15	13	0	0.197517318	5.73230116e-06	2.96224413e-05	5.64894659e-06	0.000280974448	0.000251352007	0	0	0	0	0	0	3
16	13	0	0.210685139	5.7435726e-06	2.8130012e-05	5.64894659e-06	0.000280974448	0.000252844436	0	0	0	0	0	0	3
17	14	0	0.22385296	5.78410278e-06	2.68155468e-05	5.64894659e-06	0.000280974448	0.000254158901	0	0	0	0	0	0	3
18	14	0	0.237020781	5.84131791e-06	2.56503118e-05	5.64894659e-06	0.000280974448	0.000255324136	0	0	0	0	0	0	3
19	15	0	0.250188602	5.87046698e-06	2.46092674e-05	5.64894659e-06	0.000280974448	0.000256365181	0	0	0	0	0	0	3
