Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0131678212	140780.166	140780.166	140780.166	140780.166	0	0	0	0	83753.7	0	0	3
2	4	0	0.0263356423	107552.258	124166.212	107552.258	140780.166	16613.9537	0	0	0	15815.1	0	0	3
3	5	0	0.0395034635	104244.85	117525.758	104244.85	140780.166	23254.4077	0	0	0	8969.25	0	0	3
4	6	0	0.0526712847	101891.622	113617.224	101891.622	140780.166	27162.9417	0	0	0	4013.5	0	0	3
5	6	0	0.0658391058	102621.585	111418.096	101891.622	140780.166	29362.0695	0	0	0	4772.55	0	0	3
6	7	0	0.079006927	102341.046	109905.254	101891.622	140780.166	30874.9111	0	0	0	3962.93	0	0	3
7	7	0	0.0921747482	102310.841	108820.338	101891.622	140780.166	31959.8273	0	0	0	3583.55	0	0	3
8	8	0	0.105342569	102027.096	107971.183	101891.622	140780.166	32808.9826	0	0	0	2780.45	0	0	3
9	9	0	0.118510391	101940.253	107301.08	101891.622	140780.166	33479.0859	0	0	0	2414.47	0	0	3
10	9	0	0.131678212	101834.231	106754.395	101834.231	140780.166	34025.7707	0	0	0	2061.47	0	0	3
11	10	0	0.144846033	101744.734	106298.971	101744.734	140780.166	34481.1944	0	0	0	1782.87	0	0	3
12	11	0	0.158013854	101736.834	105918.793	101736.834	140780.166	34861.3725	0	0	0	1700.53	0	0	3
13	11	0	0.171181675	101762.213	105599.056	101736.834	140780.166	35181.1094	0	0	0	1699.1	0	0	3
14	12	0	0.184349496	101789.843	105326.969	101736.834	140780.166	35453.1961	0	0	0	1704.2	0	0	3
15	13	0	0.197517318	101816.54	105092.941	101736.834	140780.166	35687.2247	0	0	0	1722.65	0	0	3
16	13	0	0.210685139	101839.881	104889.625	101736.834	140780.166	35890.5409	0	0	0	1724.22	0	0	3
17	14	0	0.22385296	101864.354	104711.668	101736.834	140780.166	36068.498	0	0	0	1727.43	0	0	3
18	14	0	0.237020781	101887.343	104554.761	101736.834	140780.166	36225.4049	0	0	0	1745.52	0	0	3
19	15	0	0.250188602	101905.306	104415.316	101736.834	140780.166	36364.8499	0	0	0	1752.42	0	0	3
20	16	0	0.263356423	101925.556	104290.828	101736.834	140780.166	36489.3378	0	0	0	1762.28	0	0	3
21	16	0	0.276524245	101929.645	104178.39	101736.834	140780.166	36601.7751	0	0	0	1734.39	0	0	3
22	17	0	0.289692066	101947.206	104076.973	101736.834	140780.166	36703.1926	0	0	0	1731.7	0	0	3
23	18	0	0.302859887	101959.203	103984.896	101736.834	140780.166	36795.2695	0	0	0	1725.66	0	0	3
24	18	0	0.316027708	101975.302	103901.163	101736.834	140780.166	36879.0026	0	0	0	1720.74	0	0	3
25	19	0	0.329195529	101978.161	103824.243	101736.834	140780.166	36955.9227	0	0	0	1699.93	0	0	3
26	20	0	0.34236335	101979.546	103753.293	101736.834	140780.166	37026.8726	0	0	0	1661.25	0	0	3
27	20	0	0.355531172	101984.461	103687.781	101736.834	140780.166	37092.3848	0	0	0	1632.29	0	0	3
28	21	0	0.368698993	101990.375	103627.159	101736.834	140780.166	37153.0065	0	0	0	1606.41	0	0	3
29	21	0	0.381866814	101993.076	103570.811	101736.834	140780.166	37209.3541	0	0	0	1579.07	0	0	3
30	22	0	0.395034635	101994.605	103518.271	101736.834	140780.166	37261.8944	0	0	0	1551.84	0	0	3
31	23	0	0.408202456	101988.427	103468.921	101736.834	140780.166	37311.2442	0	0	0	1508.35	0	0	3
32	23	0	0.421370277	101988.086	103422.645	101736.834	140780.166	37357.5203	0	0	0	1469.13	0	0	3
33	24	0	0.434538099	101993.556	103379.34	101736.834	140780.166	37400.826	0	0	0	1448.99	0	0	3
34	25	0	0.44770592	101992.189	103338.541	101736.834	140780.166	37441.6245	0	0	0	1417.87	0	0	3
35	25	0	0.460873741	101996.317	103300.192	101736.834	140780.166	37479.9738	0	0	0	1398.53	0	0	3
36	26	0	0.474041562	101990.412	103263.809	101736.834	140780.166	37516.3566	0	0	0	1360.01	0	0	3
37	27	0	0.487209383	101992.547	103229.451	101736.834	140780.166	37550.715	0	0	0	1331.92	0	0	3
38	27	0	0.500377204	101991.743	103196.879	101736.834	140780.166	37583.2863	0	0	0	1305.01	0	0	3
39	28	0	0.513545026	101989.205	102176.065	101736.834	107552.258	5815.42399	0	0	0	1278.81	0	0	3
40	28	0	0.526712847	101982.628	102029.495	101736.834	104244.85	2508.0157	0	0	0	1249.32	0	0	3
41	29	0	0.539880668	101970.636	101969.648	101736.834	102621.585	884.750762	0	0	0	1213.24	0	0	3
42	30	0	0.553048489	101954.29	101971.297	101736.834	102621.585	884.750762	0	0	0	1171.53	0	0	3
43	30	0	0.56621631	101935.251	101953.235	101736.834	102341.046	604.212131	0	0	0	1129.71	0	0	3
44	31	0	0.579384131	101910.827	101941.914	101736.834	102310.841	574.00691	0	0	0	1083.26	0	0	3
45	32	0	0.592551953	101879.21	101930.555	101736.834	102027.096	290.261977	0	0	0	1029.83	0	0	3
