Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0123955212	293.19999	293.19999	293.19999	293.19999	0	0	0	0	0.000150849	0	0	3
2	4	0	0.0247910424	293.19999	293.19999	293.19999	293.19999	4.41747261e-09	0	0	0	0.000174588	0	0	3
3	5	0	0.0371865637	293.199989	293.199989	293.199989	293.19999	2.27540397e-07	0	0	0	0.000236972	0	0	3
4	6	0	0.0495820849	293.199988	293.199989	293.199988	293.19999	4.89649381e-07	0	0	0	0.000284252	0	0	3
5	6	0	0.0619776061	293.199988	293.199989	293.199988	293.19999	7.79508639e-07	0	0	0	0.000320159	0	0	3
6	7	0	0.0743731273	293.199987	293.199988	293.199987	293.19999	1.12910817e-06	0	0	0	0.000350679	0	0	3
7	8	0	0.0867686485	293.199986	293.199988	293.199986	293.19999	1.5193005e-06	0	0	0	0.000348759	0	0	3
8	8	0	0.0991641697	293.199985	293.199988	293.199985	293.19999	1.93344488e-06	0	0	0	0.000330547	0	0	3
9	9	0	0.111559691	293.199984	293.199987	293.199984	293.19999	2.35179135e-06	0	0	0	0.000299731	0	0	3
10	9	0	0.123955212	293.199983	293.199987	293.199983	293.19999	2.76969502e-06	0	0	0	0.000266552	0	0	3
11	10	0	0.136350733	293.199982	293.199986	293.199982	293.19999	3.21138589e-06	0	0	0	0.00025975	0	0	3
12	11	0	0.148746255	293.199987	293.199986	293.199982	293.19999	3.21138589e-06	0	0	0	0.00027588	0	0	3
13	11	0	0.161141776	293.199991	293.199987	293.199982	293.199991	3.21138589e-06	0	0	0	0.000294253	0	0	3
14	12	0	0.173537297	293.199994	293.199987	293.199982	293.199994	3.21138589e-06	0	0	0	0.000311125	0	0	3
15	12	0	0.185932818	293.199997	293.199988	293.199982	293.199997	3.21138589e-06	0	0	0	0.000324355	0	0	3
16	13	0	0.198328339	293.200011	293.199989	293.199982	293.200011	3.21138589e-06	0	0	0	0.000349174	0	0	3
17	14	0	0.210723861	293.200025	293.199991	293.199982	293.200025	5.10615178e-06	0	0	0	0.000372693	0	0	3
18	14	0	0.223119382	293.200039	293.199994	293.199982	293.200039	7.75258923e-06	0	0	0	0.000394828	0	0	3
19	15	0	0.235514903	293.200056	293.199997	293.199982	293.200056	1.09874898e-05	0	0	0	0.000415427	0	0	3
20	15	0	0.247910424	293.200072	293.200001	293.199982	293.200072	1.47037156e-05	0	0	0	0.000427947	0	0	3
21	16	0	0.260305946	293.200091	293.200005	293.199982	293.200091	1.89969766e-05	0	0	0	0.000446232	0	0	3
22	17	0	0.272701467	293.200106	293.20001	293.199982	293.200106	2.35517969e-05	0	0	0	0.000462997	0	0	3
23	17	0	0.285096988	293.200114	293.200014	293.199982	293.200114	2.80621718e-05	0	0	0	0.000471341	0	0	3
24	18	0	0.297492509	293.200118	293.200019	293.199982	293.200118	3.2361682e-05	0	0	0	0.000473494	0	0	3
25	19	0	0.30988803	293.200118	293.200023	293.199982	293.200118	3.63417549e-05	0	0	0	0.000468328	0	0	3
26	19	0	0.322283552	293.200115	293.200026	293.199982	293.200118	3.98919287e-05	0	0	0	0.000441839	0	0	3
27	20	0	0.334679073	293.200109	293.200029	293.199982	293.200118	4.29445204e-05	0	0	0	0.000401727	0	0	3
28	20	0	0.347074594	293.200102	293.200032	293.199982	293.200118	4.55467248e-05	0	0	0	0.000392143	0	0	3
29	21	0	0.359470115	293.200097	293.200034	293.199982	293.200118	4.77862265e-05	0	0	0	0.000388623	0	0	3
30	21	0	0.371865637	293.200093	293.200036	293.199982	293.200118	4.97402605e-05	0	0	0	0.00038372	0	0	3
31	22	0	0.384261158	293.200092	293.200038	293.199982	293.200118	5.15338487e-05	0	0	0	0.000369308	0	0	3
32	23	0	0.396656679	293.200091	293.20004	293.199982	293.200118	5.32018255e-05	0	0	0	0.000372059	0	0	3
33	23	0	0.4090522	293.200092	293.200041	293.199982	293.200118	5.47780656e-05	0	0	0	0.000378912	0	0	3
34	24	0	0.421447721	293.200092	293.200043	293.199982	293.200118	5.62863202e-05	0	0	0	0.000387146	0	0	3
35	24	0	0.433843243	293.200094	293.200044	293.199982	293.200118	5.77423485e-05	0	0	0	0.000396054	0	0	3
36	25	0	0.446238764	293.200095	293.200046	293.199982	293.200118	5.91656012e-05	0	0	0	0.000410436	0	0	3
37	26	0	0.458634285	293.200097	293.200047	293.199982	293.200118	6.05482207e-05	0	0	0	0.000426506	0	0	3
38	26	0	0.471029806	293.200098	293.200048	293.199982	293.200118	6.18847646e-05	0	0	0	0.000444363	0	0	3
39	27	0	0.483425327	293.200099	293.20005	293.199982	293.200118	6.31746786e-05	0	0	0	0.000464389	0	0	3
40	27	0	0.495820849	293.200099	293.200051	293.199982	293.200118	6.44191073e-05	0	0	0	0.000484646	0	0	3
41	28	0	0.50821637	293.200101	293.200052	293.199982	293.200118	6.56416221e-05	0	0	0	0.000513068	0	0	3
42	29	0	0.520611891	293.200102	293.200055	293.199982	293.200118	6.83884247e-05	0	0	0	0.000540205	0	0	3
43	29	0	0.533007412	293.200103	293.200058	293.199982	293.200118	7.1158167e-05	0	0	0	0.000566662	0	0	3
44	30	0	0.545402934	293.200104	293.20006	293.199982	293.200118	7.39616898e-05	0	0	0	0.000591691	0	0	3
45	31	0	0.557798455	293.200104	293.200063	293.199982	293.200118	7.67884011e-05	0	0	0	0.000615915	0	0	3
46	31	0	0.570193976	293.200104	293.200066	293.199982	293.200118	7.9630281e-05	0	0	0	0.000638679	0	0	3
47	32	0	0.582589497	293.200104	293.200069	293.199982	293.200118	8.24847962e-05	0	0	0	0.000661653	0	0	3
48	32	0	0.594985018	293.200103	293.200072	293.199982	293.200118	8.53432403e-05	0	0	0	0.00068394	0	0	3
49	33	0	0.60738054	293.200102	293.200075	293.199982	293.200118	8.81974295e-05	0	0	0	0.000705058	0	0	3
50	33	0	0.619776061	293.2001	293.200077	293.199982	293.200118	9.10398584e-05	0	0	0	0.000724499	0	0	3
51	34	0	0.632171582	293.200099	293.20008	293.199982	293.200118	9.38669905e-05	0	0	0	0.000742017	0	0	3
52	35	0	0.644567103	293.200098	293.200083	293.199987	293.200118	9.66433999e-05	0	0	0	0.000757646	0	0	3
53	35	0	0.656962624	293.200096	293.200086	293.199991	293.200118	9.89751057e-05	0	0	0	0.000771233	0	0	3
54	36	0	0.669358146	293.200095	293.200088	293.199994	293.200118	0.000100997265	0	0	0	0.000787495	0	0	3
55	36	0	0.681753667	293.200094	293.200091	293.199997	293.200118	0.000102764239	0	0	0	0.000804847	0	0	3
56	37	0	0.694149188	293.200093	293.200093	293.200011	293.200118	0.000103635262	0	0	0	0.000821263	0	0	3
57	37	0	0.706544709	293.200093	293.200095	293.200025	293.200118	9.3695893e-05	0	0	0	0.000836288	0	0	3
58	38	0	0.718940231	293.200092	293.200097	293.200039	293.200118	7.91214775e-05	0	0	0	0.000850382	0	0	3
59	39	0	0.731335752	293.200092	293.200098	293.200056	293.200118	6.26478e-05	0	0	0	0.00086292	0	0	3
60	39	0	0.743731273	293.200092	293.200099	293.200072	293.200118	4.65514971e-05	0	0	0	0.00087405	0	0	3
