Iteration	CPUTime	PhysTime	Travels
1	4	0	0.0123955212
2	4	0	0.0247910424
3	5	0	0.0371865637
4	6	0	0.0495820849
5	6	0	0.0619776061
6	7	0	0.0743731273
7	8	0	0.0867686485
8	8	0	0.0991641697
9	9	0	0.111559691
10	9	0	0.123955212
11	10	0	0.136350733
12	11	0	0.148746255
13	11	0	0.161141776
14	12	0	0.173537297
15	12	0	0.185932818
16	13	0	0.198328339
17	14	0	0.210723861
18	14	0	0.223119382
19	15	0	0.235514903
20	15	0	0.247910424
21	16	0	0.260305946
22	17	0	0.272701467
23	17	0	0.285096988
24	18	0	0.297492509
25	19	0	0.30988803
26	19	0	0.322283552
27	20	0	0.334679073
28	20	0	0.347074594
29	21	0	0.359470115
30	21	0	0.371865637
31	22	0	0.384261158
32	23	0	0.396656679
33	23	0	0.4090522
34	24	0	0.421447721
35	24	0	0.433843243
36	25	0	0.446238764
37	26	0	0.458634285
38	26	0	0.471029806
39	27	0	0.483425327
40	27	0	0.495820849
41	28	0	0.50821637
42	29	0	0.520611891
43	29	0	0.533007412
44	30	0	0.545402934
45	31	0	0.557798455
46	31	0	0.570193976
47	32	0	0.582589497
48	32	0	0.594985018
49	33	0	0.60738054
50	33	0	0.619776061
51	34	0	0.632171582
52	35	0	0.644567103
53	35	0	0.656962624
54	36	0	0.669358146
55	36	0	0.681753667
56	37	0	0.694149188
57	37	0	0.706544709
58	38	0	0.718940231
59	39	0	0.731335752
60	39	0	0.743731273
61	40	0	0.756126794
62	41	0	0.768522315
63	41	0	0.780917837
64	42	0	0.793313358
65	42	0	0.805708879
66	43	0	0.8181044
67	44	0	0.830499922
68	44	0	0.842895443
69	45	0	0.855290964
70	45	0	0.867686485
71	46	0	0.880082006
72	47	0	0.892477528
73	47	0	0.904873049
74	48	0	0.91726857
75	49	0	0.929664091
76	49	0	0.942059612
77	50	0	0.954455134
78	50	0	0.966850655
79	51	0	0.979246176
80	52	0	0.991641697
81	52	0	1.00403722
82	53	0	1.01643274
83	53	0	1.02882826
84	54	0	1.04122378
85	54	0	1.0536193
86	55	0	1.06601482
87	56	0	1.07841035
88	56	0	1.09080587
89	57	0	1.10320139
90	57	0	1.11559691
91	58	0	1.12799243
92	58	0	1.14038795
93	59	0	1.15278347
94	60	0	1.16517899
95	60	0	1.17757452
96	61	0	1.18997004
97	61	0	1.20236556
98	62	0	1.21476108
99	62	0	1.2271566
100	63	0	1.23955212
101	66	0	1.25194764
102	67	0	1.26434316
103	67	0	1.27673869
104	68	0	1.28913421
105	68	0	1.30152973
106	69	0	1.31392525
107	69	0	1.32632077
108	70	0	1.33871629
109	71	0	1.35111181
110	71	0	1.36350733
111	72	0	1.37590286
112	72	0	1.38829838
113	73	0	1.4006939
114	73	0	1.41308942
115	74	0	1.42548494
116	75	0	1.43788046
117	75	0	1.45027598
118	76	0	1.4626715
119	76	0	1.47506702
120	77	0	1.48746255
121	78	0	1.49985807
122	78	0	1.51225359
123	79	0	1.52464911
124	79	0	1.53704463
125	80	0	1.54944015
126	80	0	1.56183567
127	81	0	1.57423119
128	82	0	1.58662672
129	82	0	1.59902224
130	83	0	1.61141776
